State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Percent,Absolute,Percent,Absolute
Alabama,13.3,12.1,12.2,11.8,11.7,11.2,11.1,11.0,10.7,10.0,10.5,10.2,10.0,10.1,10.4,10.0,9.9,9.7,9.8,9.5,9.2,9.4,-29.7%,-4.0,1.6%,0.1
Alaska,18.8,18.0,17.1,17.3,17.6,17.5,15.2,14.0,12.7,11.4,11.7,11.6,10.8,10.8,11.0,11.2,10.9,11.1,11.3,11.3,12.6,13.5,-28.6%,-5.4,6.6%,0.8
Arizona,6.4,6.3,6.1,5.8,5.8,5.5,5.4,5.3,5.2,5.4,5.5,5.5,5.3,5.3,5.3,5.3,5.2,5.0,4.9,4.8,4.6,4.5,-29.6%,-1.9,-2.2%,-0.1
Arkansas,12.7,12.2,12.0,11.4,10.7,10.5,10.3,10.5,10.4,10.1,10.7,10.5,9.9,10.0,10.0,9.5,9.4,9.3,9.6,9.4,8.8,8.8,-31.1%,-4.0,-0.9%,-0.1
California,4.7,4.7,4.6,4.4,4.4,4.2,4.1,4.1,3.9,3.9,3.8,3.7,3.5,3.5,3.3,3.2,3.2,3.1,3.0,2.9,2.6,2.6,-44.7%,-2.1,-2.7%,-0.1
Colorado,5.5,5.8,5.8,5.8,5.8,5.7,5.6,5.6,5.5,5.5,5.7,5.4,5.2,5.2,5.0,4.8,4.6,4.5,4.5,4.4,4.1,4.0,-26.3%,-1.4,-1.5%,-0.1
Connecticut,3.9,3.8,3.8,4.1,3.9,3.7,3.3,3.3,3.0,3.1,3.2,3.1,3.0,3.2,3.2,3.1,3.0,3.0,3.0,2.9,2.8,2.9,-26.9%,-1.1,1.1%,0.0
Delaware,5.4,5.0,5.5,5.3,4.8,5.1,4.8,4.9,5.0,4.2,4.4,4.5,4.5,4.7,4.3,4.3,4.5,4.6,4.9,4.7,4.5,4.6,-15.2%,-0.8,3.1%,0.1
District of Columbia,2.3,2.2,2.2,2.1,2.1,2.0,1.9,1.9,1.7,1.8,1.7,1.6,1.5,1.6,1.6,1.5,1.5,1.4,1.4,1.3,1.2,1.2,-48.7%,-1.1,1.7%,0.0
Florida,6.3,6.2,6.1,5.8,5.7,5.4,5.3,5.2,5.2,5.4,5.6,5.4,5.2,5.2,5.1,5.1,4.9,4.8,4.7,4.5,4.2,4.2,-33.9%,-2.2,-0.5%,0.0
Georgia,7.5,7.2,7.4,7.2,7.2,7.0,6.8,6.8,6.6,6.8,7.3,6.9,6.4,6.4,6.3,6.1,5.8,5.6,5.6,5.3,5.1,4.9,-34.2%,-2.6,-2.8%,-0.1
Hawaii,4.9,4.9,5.0,5.0,5.0,4.8,4.8,4.8,3.9,4.1,4.3,4.3,4.1,4.1,4.0,4.0,3.9,3.9,3.9,3.9,3.3,3.6,-25.8%,-1.3,9.3%,0.3
Idaho,11.5,10.9,10.6,9.7,9.7,9.2,9.1,9.2,8.9,8.8,9.0,8.9,8.8,8.7,8.4,8.5,8.2,8.3,7.8,7.6,7.3,7.2,-37.9%,-4.4,-2.1%,-0.1
Illinois,6.3,6.1,6.1,6.0,5.9,6.0,5.7,5.7,5.8,5.6,5.7,5.6,5.3,5.5,5.5,5.2,5.3,5.2,5.2,5.1,4.9,4.8,-24.2%,-1.5,-3.4%,-0.2
Indiana,10.9,10.7,10.8,10.6,10.2,10.1,9.7,9.7,9.7,9.7,9.6,9.4,9.1,9.3,9.2,9.0,8.7,8.2,8.3,8.2,7.8,7.9,-27.4%,-3.0,0.5%,0.0
Iowa,9.8,9.7,9.7,9.3,8.9,8.8,8.9,9.0,9.6,9.9,10.0,9.9,9.1,9.6,9.3,8.8,9.0,9.2,9.4,9.5,9.0,8.7,-11.1%,-1.1,-2.6%,-0.2
Kansas,9.8,9.3,9.5,9.7,9.4,8.6,8.4,8.4,8.0,8.1,8.2,7.9,7.5,7.7,7.8,7.4,7.1,6.9,7.2,7.1,6.8,6.6,-32.4%,-3.2,-1.9%,-0.1
Kentucky,11.9,12.1,12.8,12.0,12.1,11.8,11.4,11.7,11.6,11.6,11.5,11.0,10.7,10.1,9.8,9.5,9.3,8.9,9.3,8.9,8.4,8.5,-28.2%,-3.4,1.5%,0.1
